Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BRB,14434.329319999999,13823.55535,12811.33465,12920.472109999999,13364.41105,13583.13204,14074.241769999999,14680.36416,15166.438709999999,15172.06715,15467.82067,15049.85619,15125.942009999999,15414.42461,15582.55022,16151.558490000001,17008.26325,17244.75307,17189.23225,16433.45664,16417.96245,16472.0832,16463.765,16409.91709,16359.19074,16458.10353,16741.37976,16978.06769
BRN,84672.3915,84879.79213,86423.28356,84290.36664,84607.17457,86116.01772999999,86411.96446,83138.22352,80813.33691,81476.15172000001,82049.58086,82596.77622,84125.44059,84970.73552999999,83942.21941,82967.11276,85424.55836,84503.53876,81905.65813,79512.75501000001,80552.86447,82434.88309,81993.93208,79070.24592999999,76089.28657000001,74600.1643,71788.78339,71809.25057999999
BTN,2325.241884,2315.740538,2448.5303719999997,2537.303845,2697.0383899999997,2896.949919,3032.2281390000003,3137.937414,3241.365254,3403.5518450000004,3538.7736159999995,3723.981551,4009.251956,4198.587428,4329.1598460000005,4521.985678,4719.665364,5446.362486,5592.162848,5851.678019,6419.675599,6805.878456,7032.74666,7070.792468000001,7366.424126000001,7743.337995999999,8253.293783,8708.597120999999
BWA,8110.440465000001,8476.569851999999,8489.525115999999,8427.248164,8516.859696,8903.746295,9217.414228,9753.109608,9635.307714,10378.8152,10410.70268,10278.625820000001,10749.25103,11094.501390000001,11239.03258,11583.21959,12362.92919,13175.17963,13768.338440000001,12499.4074,13334.1988,13889.27047,14244.49431,15568.273369999999,15914.670230000002,15356.770919999999,15727.1678,15807.373590000001
CAF,925.0538528999999,897.1031406999999,817.4585969,798.1771936000001,815.1365735,851.6480711000002,797.8179864,820.6385925,840.0841927000001,851.5964989,813.0415579,832.2279245,845.6846565,785.1594269999999,817.1706459,810.0349482,833.7663895,857.0792964999999,860.6778285,863.692983,881.1445507999999,904.6104857999999,938.8237795,593.0559545,597.135169,621.5698428999999,642.873494,661.2399677
CAN,31299.65457,30220.360780000003,30115.281239999997,30578.44562,31646.810260000002,32226.226939999997,32394.577869999997,33425.81513,34424.05206,35903.15453,37431.91698,37712.12824,38500.31708,38805.67111,39604.35486,40471.26053,41203.3504,41647.38781,41611.250810000005,39924.1959,40699.35513,41565.27122,41794.53892,42339.378880000004,43079.14252,43149.47584,43238.2596,44017.59091
CHE,48181.75578,47147.53929,46610.1898,46129.441810000004,46344.26035,46256.97059,46301.83304,47271.35553,48540.27293,49128.03357,50775.97634,51117.88744,50815.15316,50459.50291,51505.09237,52770.46893,54531.9937,56269.1565,56755.83813,54805.579289999994,55866.30507,56183.83259,56149.670860000006,56535.74005,57218.02793,57264.1574,57421.5485,57410.16586
CHL,8991.846477,9538.654631,10437.98489,10956.11456,11336.78427,12172.25856,12819.8977,13587.506780000002,13991.42305,13758.91443,14315.42606,14613.803869999998,14895.54019,15332.297030000002,16258.38895,17007.57982,17890.59972,18572.56839,19031.616430000002,18547.46153,19442.05032,20437.704530000003,21330.23991,21998.30715,22195.27437,22516.60786,22614.393669999998,22767.03719
CHN,1526.408699,1645.666366,1856.7221809999999,2090.03841,2336.277721,2564.0713170000004,2789.2528,3015.699631,3221.002621,3438.074685,3700.7436479999997,3980.3644979999995,4314.791343,4718.326346,5164.641095,5719.455365999999,6411.042544,7285.274415000001,7947.787952,8651.725901,9525.818483,10384.3666,11145.75158,11951.247959999999,12758.64779,13569.89153,14400.885059999999,15308.712119999998
CIV,3193.758531,3083.890945,2970.47508,2864.708804,2793.440697,2898.400745,3027.80288,3049.486821,3111.50077,3081.1986190000002,2947.606573,2889.94571,2788.347363,2701.769483,2686.665668,2682.448861,2670.229356,2662.331114,2672.337082,2698.554349,2690.258002,2511.420195,2712.3780260000003,2879.850217,3054.534874,3241.612056,3424.9640210000002,3601.005901
CMR,3020.491911,2822.219192,2657.9921440000003,2380.037889,2365.5523949999997,2383.748573,2424.4026949999998,2487.663546,2535.5584129999997,2578.98146,2603.771592,2648.546705,2689.891737,2739.685104,2848.6542280000003,2829.19069,2848.7246579999996,2907.826607,2927.8446480000002,2911.2966690000003,2929.829113,2969.047575,3021.20597,3100.17131,3196.361526,3289.064546,3346.817793,3364.9260560000002
