,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,maln_12mean,maln_3mean,maln_2016,nat_dis2017,nat_dis_23mean,nat_dis_3mean,homoc_2017,homoc_3mean,homoc_23mean,Country or region,Outcome,
165,5.39,12.64592593,5.876666667,SWZ,57.5,52.17272727,57.5,19.58461538,21.26666667,20.7,0,0.000222454,0.027350567,23.48696848,25.73257707,26.78406092,Swaziland,0,
164,0.28,0.84037037,0.29,SWE,99.3,99.3,99.3,2.5,2.5,2.5,0,0.002636617,0.000366047,1.199426718,1.243462677,1.438460576,Sweden,1,
30,0.42,1.116851852,0.433333333,CHE,99.9,99.9,99.9,2.5,2.5,2.5,0,0.019862204,0.016716182,0.613309314,0.646488217,1.136185983,Switzerland,1,
170,3.36,10.01,3.58,TJK,95,91.26315789,94.7,,,,0.027123742,0.182849987,0.01635627,2.89216131,2.851495798,5.5981407,Tajikistan,1,
178,5.4,16.34074074,5.856666667,TZA,15.6,9.654545455,14.5,34.88461538,32.3,32,0.002048097,0.007326081,0.011806423,5.652196575,5.783547633,6.465092255,Tanzania,0,
169,0.95,5.661851852,1.046666667,THA,93,91.05,93.1,12.66153846,9.133333333,9,0.01650661,0.125983441,0.005145416,6.014672487,5.949046493,11.48157496,Thailand,1,
168,7.29,16.465,7.77,TGO,11.6,11.45909091,11.56666667,25.16153846,17.16666667,16.2,0,0.005306984,0,5.352502747,5.538219812,5.854051264,Togo,0,
174,2.61,4.041111111,2.77,TTO,91.5,90.72272727,91.5,10.60769231,6.033333333,4.9,0,0.009016073,0,22.85306179,24.19361332,18.91620811,Trinidad & Tobago,1,
175,1.3,9.099423077,1.4,TUN,91.6,81.9,90.93333333,5.192307692,4.566666667,4.9,0,0.007009298,0,0.586229833,0.610879192,0.738502696,Tunisia,0,
176,1.16,10.74277778,1.343333333,TUR,94.9,88.25,94.1,2.5,2.5,2.5,0,0.236311043,0.001848675,2.124488483,2.173476499,2.511600126,Turkey,0,
171,4.73,8.659459459,5.05,TKM,,62.32307692,,5.5,4.9,5.5,0,0.001716671,0.000774313,4.083705501,4.143491111,5.453368039,Turkmenistan,0,
179,4.9,16.7912963,5.53,UGA,19.1,15.71363636,18.76666667,27.92307692,35.93333333,41.4,0.007324371,0.010387523,0.00270919,3.898068693,4.119328815,5.046475561,Uganda,0,
180,0.88,2.082790698,0.943333333,UKR,95.9,94.94444444,95.83333333,2.761538462,2.633333333,3.3,0,0.000898803,0.000870057,10.07928519,10.08696737,12.93499699,Ukraine,0,
4,0.91,5.030555556,0.873333333,ARE,97.6,97.43636364,97.5,4.346153846,3.833333333,2.5,0,0,0,1.201010852,1.21370072,1.252038172,United Arab Emirates,1,
61,0.43,1.286296296,0.446666667,GBR,99.2,99.2,99.2,2.5,2.5,2.5,0,0.002817497,0.00096228,0.533067857,0.527330922,0.809683869,United Kingdom,1,
182,0.66,1.48537037,0.68,USA,100,99.74545455,100,2.5,2.5,2.5,0.003604609,0.015654085,0.009654901,6.119955521,5.824200341,7.42118959,United States,1,
181,0.82,3.348518519,0.893333333,URY,96.4,93.60454545,96.1,3.530769231,2.5,2.5,0,0.001312142,0.002037316,6.132201024,6.422903297,4.951522876,Uruguay,1,
183,2.25,6.74,2.566666667,UZB,100,91.65909091,100,13.33846154,7.366666667,7.4,0,0.001475668,0.000336219,2.557037233,2.513204119,3.530991483,Uzbekistan,1,
185,3.09,3.97462963,2.286666667,VEN,94.4,88.22272727,94.26666667,9.323076923,7.933333333,11.7,0,0.953344941,0,47.87199354,48.80879099,36.38875473,Venezuela,0,
186,2.09,5.2826,2.16,VNM,78,53.79090909,74.7,17.46153846,11.6,10.8,0.032552961,0.100720899,0.011035388,1.575046915,1.615760973,1.897229354,Vietnam,0,
