Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GUM,0,1.000000008,0,0,0,0,0,0,0,0,0,0,0,0,1,1.000000005,0,2.99999997,3.999999958,1.000000001,2.000000011,0,0,2.000000005,0,0,0,0
GUY,0,0,0,0,0,0,0,0,1.000000587,0,0,0,4.000000194,0,0,0,6.000000063,0,52.00000276,0,0,0,0,0,0,0,0,0
HND,2.999999998,18.00000024,5.00000001,0,10.00000004,8.000000013,11.00000013,13.99999994,0,0,0,0,0,23,56.00000078,0,0,0,0,2.000000001,0,2.000000002,0,5.00000001,0,0,1.999999999,0
HRV,0,3485.989495,2177.998561,754.9998983,225.0000097,964.0004624,155.9999958,40.99999919,28.0000004,15.00000008,8.999999955,4.000000001,2.000000026,4.000000071,10.99999988,5.000000035,0.999999993,2.999999982,3.000000064,3.999999978,4.000000036,1.999999983,3.999999974,3.000000006,0,1.000000028,2.999999946,0
HTI,15.00000002,367.0000157,17.99999945,37,130.9999956,16.99999979,14.00000013,8.999999995,0,13.99999996,5.000000001,0,0,3.999999993,237.9999716,41.00000081,81.99999547,1,6.000000009,0.999999999,0,0,0,0,0,0,6.999999978,0
HUN,0.999999998,0.999999999,0,0,0,0,0,3.000000001,0,0,0,1,1.000000003,0,0,0,0,0,0,2.000000001,1.000000004,0,0,0,0,0,0,0
IDN,212.0000084,447.0000436,85.99999905,27,13.00000016,103.0000035,62.00000001,718.433041,988.7021825,4012.762339,715.5096501,1484.058518,1041.885047,1178.629719,1094.999985,333.6795512,32.00000233,22.9999991,6.999999996,46.85780172,9.999999025,71.99997167,54.99999901,51.00000053,79.99999846,451.9993908,30.99999983,23.99999982
IND,3805.095319,4830.603381,4849.38914,1923.504361,1805.180188,1393.396739,1845.852564,3211.240558,2804.139579,3965.290884,5458.141406,5500.778217,4691.936581,3974.14357,3268.929773,3664.798519,3691.020648,3031.282674,2609.000025,2964.861343,3465.000467,1967.329669,1327.017168,1403.159566,1685.621384,1414.482338,2043.821189,766.0000036
IRL,0,3.00000001,0,0,3.99999998,1,1,0,1.000000001,0.999999983,0,0,0,0,0,0,1.000000001,0,0,0,0,1,0,0,0,0,2.000000004,0
IRN,1026.576184,672.6117846,452.4373554,397.2458919,411.529749,235.8811108,211.8822609,154.9298272,129.1986017,112.0058276,141.8959228,125.054824,121.8241199,177.308924,85.39168036,29.66968111,379.0000427,96.00000006,146.4543939,311.0173818,239.7936761,223.9999983,30.50691972,65.99999609,28.99999827,77.00000086,121.9999996,93.99999948
IRQ,2029.725368,23678.99328,1053.405943,840.2973856,813.2290667,688.2087235,485.5413839,450.3748926,306.9662116,293.2152276,335.2038174,306.2667835,297.9661984,762.5333931,2366.214866,3465.292907,23266.94223,25603.13012,8793.001071,5701.98662,6238.001533,6032.006982,7307.993299,16889.95102,33297.02646,26413.05561,28579.9092,33240.11405
ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,100.0000038,76.00000468,108.0000024,88,176.0000003,95.00000073,204.9999952,55.99999905,44.00001115,11.00000056,119.0000008,487.000171,1212.00022,625.0001315,573.0000877,254.9999957,666.000016,320.0000102,751.0000279,706.999948,67.99999991,94.00000054,87.00000071,9.999999998,1730.999909,35.00000016,27.00000016,20.9999997
ITA,1,0,16.99999999,1.000000002,4.000000003,1.000000008,0,0,3.000000004,1,0.999999991,0,1,17,1,2.000000004,0,0,1.000000011,0,11.99999998,1,0,3.000000239,2.000000186,0,1,0
JAM,0,0,4.999999993,0,1.99999999,1.000000004,0.999999999,10.00000072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOR,0,0.999999997,2.000000001,0,0,1.000000003,0,0,0,0,0,1.000000001,2.99999999,0,0.999999934,121.0000133,0.999999999,0,0,0,2.000000027,0,1,4.999999985,1.000000001,7.999999973,68.99999744,34.99999963
JPN,6.00000054,4.000000167,2.000000597,1.999999808,10.99999984,15.00000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00000117,22.99999998,3.999999949
KAZ,0,0,8.999999998,0,0,0,0,2,0,3.938246796,5.938246797,19.69123399,0,0,33.57665741,42.79355905,27.28128927,14.99999998,28.81014453,20.20305173,84.68816595,36.05214876,56.9103032,1.969123399,6.891931895,11.81474039,9.99999999,0
KEN,6.999999916,0,158.0000021,1,45.99990474,5.999999997,4.999999959,427.6577666,784.9506477,343.0010134,428.0006736,475.0004298,397.9998241,154.0000347,178.0000273,326.9999946,290.0004826,580.4362429,1895.68582,329.9754272,178.651213,169.6653815,508.7819906,709.9999231,530.9999495,647.3726295,202.9999952,390.9993271
KGZ,0,0,0,0,0,0,0,0,0,15.00000001,175.9999969,7.004176408,2.999999989,0.999999999,3.502088213,12.25730867,7.000000003,0.560334114,0.49029235,0.210125293,424.0000399,39.99999985,17.51044115,1.000000001,3.45146175,5.202505864,1,0
KHM,377.0000011,337.9999703,257.0000048,483.9999903,797.000163,743.9999994,889.9999902,554.9999291,308.9999947,0.999999999,15.99999992,4.000000011,3.999999995,2.000000001,0,0,0,2,3.000000002,1.999999999,0.185852127,10,1,0,0,4.999999997,1.999999995,1
KIR,0,0,0,0,0,6.999999843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,1,0,1,25.99999897,21.00000089,41.99999863,0.99999996,0,0,0,4.999999928,2.00000001,0.999999999,0,0,0.999999997,0,1.000000006,50.00000275,0,0,0.999999992,2.000000002,0,0,0
KWT,1329,461.0000718,2.00000001,0,0,7.999999847,14.99999868,8.999999607,8.000000094,8.99999929,7.000000588,5.000000036,6.000000058,5.999999216,9.000000713,11.99999823,18.00000082,11.99999907,1.000000058,3.000000008,0,1.000000013,0,0.999999984,0.999999992,54.00000244,1,0
LAO,254.9999353,0,2.99999998,3,1.999999993,0,5.000000022,2,0,2,7.999999987,0,4,14.99999976,4,0,73.0000002,0,0,0,0,0,0,0,0,3.999999983,7.000000006,2.000000005
LBN,877.9996651,143.0000304,181.0000279,137.0000009,153.000036,124.9999863,250.9999901,118.9999974,70.99999954,65.99999994,37.99999922,4,33.94807043,3.999999996,2.597403488,24.99999986,758.9999552,199.7403803,197.9091629,21.79221044,5.194806931,5.00000001,47.33768599,239.0000574,268.0000328,189.9999912,47.00000144,386.0000491
LBR,3684.003114,271.9999988,434.9997707,2565.00066,3770.006339,2196,1097,13,14,191.0000361,101,481.9999997,2286.000102,3217.000227,18.00000019,3.000000009,0,0.999999999,24.99999954,0,1.000000001,13.99999992,0,1.000000001,4.000000008,1,13.00000017,3.999999976
LBY,0,0,0,0,0,0,2451.003975,7.999999975,1.999999998,0,1.999999986,0,0,0,0,0,0,0,40.00000291,0,0,47807.61741,850.0004702,363.0002895,2957.009527,51.00000052,1830.000011,1525.000078
LCA,0,0,0,0,0,0,0,0,0,0,1.999999791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKA,6249.998998,7657.000826,5367.999106,2120.000077,1207.001051,5859.002033,4918.001565,3384.997666,4510.000237,2156.000016,3017.001434,1356.999778,11,52.9999991,53.99999809,223.0000034,3085.997023,2963.000294,8799.002726,10613.9995,8476.97407,2,0,6.966315075,3,3.000000003,0,1
LSO,0,0,0,0,0,0,0,5.999999953,117.0000066,15.99999923,0,0,9.000000008,0,0,0,2.000000005,0,0,4.000000034,1.000000001,0,5.000000057,0,0.999999995,3.000000015,0,4.000000053
LTU,0,21.00000004,0,0,3.000000069,1.00000002,0,1.999999948,0,0,0,0,0,0,0,0,0,0,1.000000003,0,0,0,0,0,0,0,0,0
LUX,0,0,0,0.999997473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LVA,0,4.000000001,0,0,1,0,0,0,0,0,1.000000001,0,0,0,0.999999986,0,2.000000061,0,1.000000046,1.999999889,0,0,0,0,0,0,0,0
MAR,0,22.00000004,2.000000001,0,0,0,0,5.999999999,10,0,1,0,0,88.99999897,0,0,1.999999999,2.000000001,0,0,13.99999998,18.00000001,1.000000011,2.000000025,1.999999999,2,3.000000002,2
MDA,0,0,595.0000073,0,0.999999999,0,0.999999984,0,0,0,0.999999989,0,0,0,0,0,1.999999999,0,0,0,0,0,1.000000001,0,0,0,0,0
MDG,0,3.999999997,16.00000008,0,0,4.000000009,1,0,0,0,1,0,6.000000011,0,1,1.999999999,0,2.999999996,2.000000002,70.99999874,3.000000002,0,23,107.9999959,440.0000549,168.9999854,173.9999992,172.0000144
MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,12.00000291,19.99999858,8.999999646,4.999999937,234.9999747,81.99999791,139.0000001,65.00000001,107,0,21.00000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,0,26.99999845,0.99999998,0.999999992,0,2.999999963,0,0,0,6,5.999999998,107.0000039,22.99999933,15.00000006,0,0,5.999999997,11.99999998,3.00000001,0,0,0,5.000000015,0,0,0,0,0
MLI,341.9999981,230.9999935,82.00000021,0,829.9999029,3.999999995,0,5000.018645,10002.04964,2008.999707,2002.997675,2002.002225,2004.998293,1513.000399,499.9998124,11.99999999,199.9999829,59.00000062,117.0000001,136.9999976,31.00000015,37.00000022,335.9999188,1119.999991,233.9999999,248.9999844,136.9999982,869.9999616
MLT,0,1.000003918,1.000000019,0,0,1.000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR,615.9999923,1095.999987,1887.999988,143.0000004,792.9999827,479.9999687,610.9999993,803.9999999,494.9999999,358.9999998,668.0000003,338.9999996,546.9999934,264.9999996,179,358.0000023,449.9999957,663.9999968,114.0000002,263.0000097,197.9999992,807.0000039,856.9999996,318.9999962,263.9999983,758.9997263,215.0000045,30.99999997
MNE,0,0,0,0,0,0,0,0,0,9,1,0.999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNG,0,0,0,0,0,0,0,0,0,0.715185275,0.715185275,3.575926361,0,0,1.787963187,6.257871182,0.715185276,0.28607411,0.250314846,0.107277791,14.30370553,3.21833375,8.939815949,0.357592638,1.251574231,2.145555826,0,0
MNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999989,2.000000054,0,1.999999994,0,0,0,0,0,0,0,0,0,0
MOZ,1943.999642,2122.001814,675.9998963,0,0,14.99999994,0,0,0,0,1,0,0,0,3,12,2.000000001,5.999999979,0,0,6.999999979,0,7.000000006,50.99999943,32.99999996,3.999999999,57.00000016,172.0000107
MRT,19,0,0,0,0,0,0,3.000000022,0,0,0,0,0,17.99999918,0,48.99999837,0,7.999999918,23.99999989,1.999999997,1.999999998,11.99999965,2.000000001,0,0,0.999999997,0,2.000000006
MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWI,0,0,31.99999968,0,0,0,0,0,0,0,1,2.000000002,1,0,0,0,0,0,2.999999993,0,0,0.999999999,0,1.999999999,2.999999999,12,21.99999981,11.99999995
MYS,0,0,0,0,0,0,0,0,0,0,5.000000008,1,0,0,0,0,0,0,0,0,0,0,2,72,1,1,5.999999999,0
NAM,0,2.999999934,0,0,0,0,2,0,30.00000093,53.00000993,155.9999349,12.99999946,9.99999994,10.9999999,0,0,0,0,0,0,0,0,1.000000001,0,2.000000002,2.99999996,0,1
NER,200.0000596,47.99999978,62.99999959,6.000000002,103.000004,89.00000099,15.99999973,82.99999961,297.9999806,14.0000003,8.999999997,3.000000003,2.999999999,0,4,0.999999999,9.000000044,115.0000018,59.99999739,6.000000009,37.00000097,39.99999934,27.99999977,67.99999963,4,622.0000294,339.9999936,308.0000017
