Jordan,JOR,1576130000,951660000,554180000,450310000,562720000,1321220000,604630000,709850000,573570000,631510000,734090000,740420000,954750000,974100000,1157500000,1400330000,2697160000,2151850000,2738380000,2920750000,..,..
Kazakhstan,KAZ,..,..,189190000,152150000,190300000,290260000,273200000,225290000,177780000,212120000,338100000,295290000,211800000,200820000,131860000,90760000,92800000,82500000,63580000,59140000,..,..
Kenya,KEN,394790000,1181290000,513920000,472410000,388220000,522900000,655930000,756570000,941650000,1329360000,1363400000,1782480000,1631260000,2478820000,2653660000,3306840000,2661030000,2464180000,2187740000,2474760000,..,..
Kiribati,KIR,19160000,20220000,17940000,12430000,20880000,18570000,16980000,28120000,25550000,27390000,27460000,25290000,23410000,64900000,65670000,64990000,80660000,64950000,60840000,77140000,..,..
"Korea, Dem. People’s Rep.",PRK,..,7730000,73550000,117890000,264400000,131140000,160850000,87450000,55180000,99580000,206230000,65220000,78830000,118490000,97870000,109100000,153530000,131430000,119650000,133070000,..,..
"Korea, Rep.",KOR,138620000,52000000,-198140000,-111330000,-81910000,-461600000,-71540000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,782130000,527520000,583180000,566740000,568550000,579390000,437810000,370030000,392370000,..,..
Kuwait,KWT,10250000,12860000,3890000,4690000,5710000,5520000,3690000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kyrgyz Republic,KGZ,..,..,214710000,187720000,185720000,200020000,261130000,267480000,311050000,281000000,357280000,312910000,383920000,523330000,470490000,539450000,626570000,769990000,515960000,460820000,..,..
Lao PDR,LAO,45850000,149070000,280890000,244840000,278080000,301260000,270030000,297420000,365170000,401150000,496590000,417290000,413420000,399790000,410700000,423330000,474420000,471090000,399460000,475930000,..,..
Latvia,LVA,..,..,90590000,105180000,75200000,113370000,161810000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,297830000,285680000,201190000,198970000,204020000,534640000,266670000,230720000,819040000,978970000,1068360000,580080000,445090000,475490000,711580000,621600000,820950000,974920000,1138520000,1305520000,..,..
Lesotho,LSO,93160000,139130000,37170000,55550000,77000000,79130000,95310000,68440000,71190000,130900000,144710000,122270000,256050000,256770000,276260000,320670000,107170000,83140000,112320000,146790000,..,..
Liberia,LBR,97050000,113740000,67420000,38480000,54990000,106780000,213390000,222090000,260910000,1123020000,1250410000,510750000,1416110000,762250000,566710000,535930000,749590000,1094430000,815120000,621650000,..,..
Libya,LBY,12130000,8340000,13750000,6950000,6970000,7910000,12500000,23840000,37510000,19410000,74200000,40040000,7610000,641100000,87120000,128830000,210280000,157370000,179490000,431870000,..,..
Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,..,..,97820000,130230000,132210000,370880000,249380000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Macao SAR, China",MAC,4430000,230000,680000,530000,980000,130000,120000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Madagascar,MDG,229550000,396960000,324480000,374530000,373940000,545360000,1252520000,916150000,784410000,896830000,847200000,434510000,477310000,447280000,368490000,499280000,588120000,676970000,621800000,779590000,..,..
Malawi,MWI,141180000,500360000,448150000,411100000,379740000,519570000,507420000,573650000,722870000,766670000,924740000,773710000,1016850000,798280000,1170910000,1132550000,931160000,1049380000,1241270000,1515470000,..,..
Malaysia,MYS,134590000,468490000,48650000,29330000,89340000,110320000,299230000,29220000,241360000,202150000,156350000,139920000,-6140000,40810000,18320000,-113310000,19920000,-600000,-51820000,-29250000,..,..
Maldives,MDV,20910000,20860000,19150000,24770000,27460000,21340000,28050000,76570000,38270000,38090000,54540000,33250000,111660000,54290000,56730000,21700000,22540000,26830000,27000000,41890000,..,..
Mali,MLI,266420000,479170000,288040000,351740000,420480000,556230000,585300000,724590000,869200000,1021010000,967750000,984660000,1091460000,1267620000,995580000,1397560000,1235840000,1204130000,1207860000,1356390000,..,..
Malta,MLT,15930000,5310000,21240000,1700000,11040000,9110000,6190000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Marshall Islands,MHL,..,..,57230000,74010000,62490000,56660000,51280000,56770000,55110000,52190000,52490000,58950000,32630000,82320000,83850000,93740000,55700000,57060000,12560000,72500000,..,..
Mauritania,MRT,175370000,236180000,223630000,282740000,363460000,260850000,194770000,188800000,216320000,348850000,454790000,375980000,373610000,381720000,409790000,294740000,260710000,318000000,294080000,284460000,..,..
Mauritius,MUS,33090000,88290000,20750000,21280000,23850000,-14520000,32800000,34400000,19130000,69210000,108680000,156030000,124590000,185690000,176680000,145740000,44590000,78420000,42340000,11640000,..,..
Mexico,MEX,55390000,156250000,-45340000,98700000,141640000,120930000,140980000,201910000,250810000,119340000,147810000,189220000,462280000,973170000,407930000,562390000,814890000,321070000,809300000,737480000,..,..
"Micronesia, Fed. Sts.",FSM,..,..,101880000,137900000,112080000,115000000,86370000,106440000,108570000,114950000,94140000,120880000,63420000,133450000,143260000,143210000,117010000,81390000,50630000,98020000,..,..
Moldova,MDA,..,..,122650000,119240000,142980000,119060000,119900000,169710000,224820000,270300000,298170000,245780000,473010000,461690000,475490000,348690000,517800000,312580000,262050000,241030000,..,..
Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,2400000,13050000,218450000,213840000,209690000,252070000,256470000,221020000,205750000,229230000,247900000,371910000,302990000,351120000,446530000,430520000,316910000,236340000,325670000,763920000,..,..
Montenegro,MNE,..,..,..,..,..,8140000,20130000,3860000,95590000,105650000,104470000,76490000,80070000,126630000,103090000,117180000,100420000,99960000,85730000,117460000,..,..
Morocco,MAR,1160840000,1241090000,447380000,493850000,364390000,584390000,780600000,732640000,1101530000,1219230000,1453360000,1045960000,985500000,1440240000,1471140000,2008650000,2240150000,1481430000,1992340000,1884890000,..,..
Mozambique,MOZ,167060000,997510000,907390000,961470000,2217370000,1049520000,1244290000,1289860000,1641940000,1784990000,1993090000,2013600000,1943130000,2065470000,2071700000,2312700000,2106010000,1814740000,1529130000,1775660000,..,..
Myanmar,MMR,307910000,160770000,105640000,125670000,119030000,125020000,123450000,144830000,145710000,195890000,534590000,355960000,354920000,379950000,504530000,3936120000,1384460000,1168500000,1536860000,1542800000,..,..
Namibia,NAM,..,119620000,152410000,109510000,135020000,148380000,175330000,113380000,149330000,220850000,205490000,331130000,261330000,278210000,252440000,261040000,226220000,142380000,170190000,186690000,..,..
Nauru,NRU,30000,160000,4000000,7260000,11720000,16140000,13750000,9240000,17520000,25610000,31240000,23510000,27780000,37530000,35620000,28750000,22520000,31250000,22680000,25680000,..,..
Nepal,NPL,159990000,422840000,386420000,388990000,342910000,464480000,425940000,423130000,527670000,616820000,697020000,853750000,814410000,886630000,769680000,873330000,883820000,1224780000,1063350000,1258400000,..,..
Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Caledonia,NCL,197970000,302410000,350170000,294150000,323830000,453900000,524340000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nicaragua,NIC,218450000,329560000,561970000,931910000,517390000,836630000,1241440000,764520000,739930000,837340000,738510000,774500000,660390000,691500000,532320000,495800000,432170000,457920000,430980000,562590000,..,..
Niger,NER,165430000,387590000,209210000,258980000,295810000,481020000,548680000,523090000,541940000,575450000,615450000,470630000,741380000,644670000,891140000,797300000,917780000,867990000,951380000,1206650000,..,..
Nigeria,NGA,34400000,255080000,173800000,167820000,299550000,309850000,578770000,6401790000,11431960000,1958600000,1293720000,1639230000,2052360000,1809860000,1916170000,2515720000,2478600000,2431540000,2498190000,3358790000,..,..
North Macedonia,MKD,..,..,250850000,247640000,273860000,266110000,264000000,227400000,200850000,201830000,202800000,194220000,194310000,192290000,147710000,196730000,211920000,214320000,168350000,149950000,..,..
Northern Mariana Islands,MNP,109140000,63110000,180000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oman,OMN,219330000,68200000,79670000,8310000,76970000,64310000,100340000,19040000,54070000,213980000,74650000,144490000,-21610000,..,..,..,..,..,..,..,..,..
Pakistan,PAK,1180880000,1126890000,706570000,1946770000,2109220000,1072780000,1434140000,1616730000,2178770000,2294210000,1500110000,2762390000,3020700000,3498040000,2017410000,2194470000,3615820000,3754000000,2949860000,2283270000,..,..
Palau,PLW,..,..,39130000,34280000,31460000,25830000,19780000,23670000,37390000,22410000,42940000,35620000,28760000,27990000,15460000,35420000,23480000,13930000,17760000,22140000,..,..
Panama,PAN,45060000,99340000,17360000,27750000,22140000,27480000,22460000,20230000,32680000,-133690000,29740000,62000000,127160000,110170000,51350000,9210000,-193260000,10250000,22610000,41480000,..,..
Papua New Guinea,PNG,325530000,412400000,275210000,202910000,202320000,221210000,268980000,266750000,279930000,325490000,302140000,401510000,512400000,612780000,670270000,657440000,581910000,591390000,531580000,532010000,..,..
Paraguay,PRY,30470000,57190000,83440000,63210000,58480000,52400000,22310000,51220000,56080000,108010000,134820000,148690000,121010000,93080000,104570000,130710000,62420000,60180000,88540000,142580000,..,..
Peru,PER,200710000,397080000,401550000,453690000,491540000,499940000,469380000,455670000,459680000,314570000,468610000,437750000,-296310000,597810000,385560000,363660000,328300000,334830000,320200000,-7600000,..,..
Philippines,PHL,298530000,1270620000,575140000,571830000,553400000,716190000,450150000,567710000,570000000,609280000,38290000,307890000,541340000,-183730000,-3370000,192060000,677440000,515310000,283650000,160250000,..,..
Poland,POL,..,1320280000,1393410000,958490000,876440000,1185640000,1520160000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,540000,2970000,1940000,3910000,5020000,4820000,3630000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,..,243400000,430770000,646580000,418150000,597730000,910950000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation,RUS,..,254020000,1553720000,1089810000,1284520000,1244480000,1319550000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rwanda,RWA,154110000,287920000,321460000,304660000,359590000,335960000,491140000,572710000,605390000,780040000,935500000,934250000,1033090000,1263210000,878640000,1086290000,1035030000,1085330000,1147440000,1225400000,..,..
Samoa,WSM,24660000,47550000,27500000,43120000,37480000,33240000,31050000,43680000,47140000,37470000,41020000,74710000,148200000,97710000,117290000,113010000,93990000,93720000,88640000,129520000,..,..
San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,3820000,54120000,34940000,38180000,26090000,37850000,33680000,32700000,23060000,51070000,47290000,30460000,50190000,73480000,50700000,53750000,41380000,48950000,47040000,40270000,..,..
