2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
13.0,12.9,12.4,12.1,11.6,10.9,10.3,9.7,9.1,8.4,8.0,8.1,8.2,8.1,7.8,7.6,7.6
5.9,6.5,6.7,6.5,6.3,6.2,6.1,5.9,5.4,4.8,4.3,4.1,3.9,3.7,3.3,2.9,2.7
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
19.2,17.4,16.0,15.3,15.5,17.0,19.1,21.2,22.6,23.3,23.2,22.7,22.1,21.5,21.3,21.0,20.7
40.1,39.8,39.7,39.1,39.1,39.2,39.8,40.3,40.7,40.8,40.0,38.9,37.7,37.1,37.0,38.4,39.7
31.1,30.5,29.8,28.6,27.2,26.0,24.9,23.9,22.9,22.0,21.0,20.1,19.1,18.1,17.2,16.2,16.2
18.8,18.3,17.1,15.8,14.2,12.5,11.0,10.3,10.0,9.8,9.2,8.8,8.8,9.0,9.2,9.2,9.0
8.2,7.6,6.9,6.0,5.3,4.8,4.6,4.4,4.5,4.6,4.8,4.9,4.9,4.8,4.8,5.1,5.5
40.4,35.6,31.8,30.5,30.6,31.3,31.5,31.5,31.0,30.5,29.2,27.9,26.8,26.6,26.8,27.1,27.2
11.6,11.2,11.3,11.8,12.0,11.8,11.3,10.7,10.4,10.1,9.6,8.6,7.5,6.6,6.0,5.5,4.9
4.9,5.2,5.6,5.6,5.6,5.6,5.5,5.4,5.2,5.0,4.8,4.6,4.5,4.5,4.5,4.7,4.9
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
36.5,36.9,36.8,36.8,35.7,34.4,33.4,33.2,34.1,34.5,34.6,33.6,33.0,32.6,32.2,32.1,32.0
27.7,27.4,26.4,24.9,23.7,24.1,25.8,28.1,29.6,30.4,30.9,31.6,32.4,33.7,35.5,38.6,41.4
4.5,3.6,2.8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.9,3.3
4.2,4.1,4.1,4.2,4.3,4.3,4.0,3.5,3.0,2.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
16.2,18.8,19.8,18.9,16.9,14.5,12.4,11.1,10.3,9.7,9.0,8.2,7.6,7.4,7.4,7.3,7.4
16.7,14.8,12.7,11.1,9.8,9.1,8.4,7.8,7.4,7.0,6.7,6.4,6.1,6.0,5.9,5.9,5.7
16.4,16.3,16.8,15.2,13.1,10.5,8.4,6.0,4.0,3.1,3.1,3.6,4.7,6.1,7.9,9.8,11.7
24.3,22.5,20.7,19.3,18.5,18.2,17.6,16.7,15.5,14.5,13.6,13.0,12.6,12.1,11.6,11.1,10.8
8.2,8.1,8.0,7.7,7.4,7.0,6.6,6.1,5.8,5.8,5.9,6.1,6.3,6.5,6.7,6.9,7.1
5.3,4.4,4.1,3.8,3.6,3.5,3.5,3.6,3.5,3.5,3.4,3.3,3.1,3.1,3.1,3.1,3.1
29.9,30.1,30.6,31.0,30.9,30.1,28.9,27.6,27.0,26.2,25.7,25.2,25.9,27.7,30.2,32.6,34.4
5.0,4.7,4.6,4.4,4.3,4.4,4.5,4.6,4.6,4.5,4.4,4.4,4.5,4.8,5.3,5.8,6.1
47.4,49.0,50.0,49.9,50.2,51.1,52.6,53.5,53.0,51.5,50.0,48.8,47.7,46.1,44.9,44.4,44.5
40.2,40.4,40.8,41.5,41.9,42.2,42.1,42.6,43.0,42.8,41.9,41.3,41.9,44.4,47.0,48.2,46.6
